Athlete, Reaction, Time, 10m, 20m, 30m, 40m, 50m, 60m, 70m, 80m, 90m, 100m
Ryoto Yamagata, , 10.06, 1.85, 1.05, 0.93, 0.90, 0.88, 0.88, 0.88, 0.88, 0.90, 0.91
Akihiko Nakamura, , 10.69, 1.98, 1.08, 0.98, 0.95, 0.94, 0.94, 0.93, 0.94, 0.97, 0.98
Aska Cambridge, 0.150, 10.25, 1.750, 1.07, 0.86, 1.01, 0.89, 0.89, 0.89, 0.91, 0.91, 0.92
Yoshihide Kiryu, 0.140, 10.29, 1.730, 1.06, 0.95, 0.92, 0.90, 0.89, 0.90, 0.92, 0.92, 0.96
Ryoto Yamagata, 0.139, 10.26, 1.721, 1.07, 0.95, 0.92, 0.90, 0.89, 0.90, 0.92, 0.92, 0.93
Yoshihide Kiryu, 0.141, 10.31, 1.739, 1.05, 0.95, 0.90, 0.90, 0.89, 0.90, 0.91, 0.94, 0.99
Ryoto Yamagata, 0.139, 10.17, 1.721, 1.06, 0.94, 0.90, 0.89, 0.89, 0.89, 0.90, 0.92, 0.92
Aska Cambridge, 0.139, 10.16, 1.751, 1.07, 0.95, 0.91, 0.88, 0.88, 0.88, 0.89, 0.90, 0.91
Yuki Hirao, , 10.41, 1.87, 1.08, 0.98, 0.94, 0.92, 0.92, 0.91, 0.92, 0.92, 0.95
Yoshihide Kiryu, , 10.04, 1.81, 1.05, 0.95, 0.91, 0.88, 0.87, 0.88, 0.88, 0.90, 0.91
Kei Takase, , 10.33, 1.87, 1.08, 0.96, 0.92, 0.90, 0.90, 0.90, 0.92, 0.93, 0.95
Kenji Fujimitsu, , 10.17, 1.92, 1.07, 0.95, 0.91, 0.89, 0.88, 0.87, 0.88, 0.89, 0.91
Tomoya Baba, , 10.26, 1.90, 1.07, 0.96, 0.92, 0.89, 0.88, 0.88, 0.91, 0.92, 0.93
Takumi Kuki, , 10.20, 1.86, 1.07, 0.95, 0.91, 0.89, 0.89, 0.89, 0.90, 0.92, 0.92
Shota Hara, , 10.13, 1.87, 1.07, 0.96, 0.90, 0.88, 0.88, 0.88, 0.89, 0.89, 0.91
Shota Iizuka, , 10.08, 1.88, 1.07, 0.95, 0.90, 0.89, 0.88, 0.87, 0.87, 0.88, 0.89
Aska Cambridge, 0.123, 10.08, 1.747, 1.06, 0.94, 0.90, 0.88, 0.86, 0.87, 0.88, 0.90, 0.92
Ryota Yamagata, 0.123, 10.24, 1.737, 1.06, 0.96, 0.92, 0.89, 0.89, 0.89, 0.90, 0.92, 0.95
Daisuke Miyamoto, 0.133, 10.42, 1.747, 1.06, 0.96, 0.92, 0.90, 0.91, 0.92, 0.93, 0.96, 0.98
Shuhei Tada, 0.131, 10.10, 1.689, 1.03, 0.94, 0.90, 0.88, 0.88, 0.88, 0.90, 0.93, 0.94
Takuya Kawakami, 0.146, 10.38, 1.734, 1.07, 0.96, 0.92, 0.91, 0.90, 0.91, 0.92, 0.94, 0.97
Abdul Hakim Sani Brown, 0.156, 10.05, 1.724, 1.04, 0.94, 0.90, 0.87, 0.87, 0.87, 0.88, 0.89, 0.91
Zhenye Xie, 0.161, 10.13, 1.709, 1.05, 0.94, 0.91, 0.88, 0.87, 0.88, 0.89, 0.91, 0.93
Bingtian Su, 0.166, 10.03, 1.714, 1.05, 0.94, 0.89, 0.88, 0.86, 0.87, 0.87, 0.89, 0.90
Kuk-Young Kim, 0.107, 10.24, 1.743, 1.05, 0.95, 0.90, 0.89, 0.88, 0.90, 0.91, 0.94, 0.97
James Dasaolu, 0.145, 10.22, 1.745, 1.06, 0.96, 0.91, 0.90, 0.89, 0.89, 0.89, 0.91, 0.92
Chijindu Ujah, 0.156, 10.12, 1.744, 1.07, 0.95, 0.90, 0.88, 0.87, 0.87, 0.88, 0.89, 0.91
Bingtian Su, 0.224, 10.27, 1.806, 1.03, 0.92, 0.91, 0.89, 0.89, 0.89, 0.89, 0.90, 0.92
Reece Prescod, 0.145, 10.17, 1.895, 1.05, 0.92, 0.92, 0.89, 0.86, 0.86, 0.87, 0.88, 0.88
Jimmy Vicaut, 0.152, 10.08, 1.798, 1.03, 0.90, 0.89, 0.87, 0.87, 0.88, 0.89, 0.90, 0.90
Akani Simbine, 0.141, 10.01, 1.779, 1.03, 0.92, 0.92, 0.87, 0.84, 0.86, 0.87, 0.88, 0.90
Yohan Blake, 0.137, 9.99, 1.753, 1.03, 0.91, 0.90, 0.89, 0.88, 0.87, 0.88, 0.87, 0.87
Usain Bolt, 0.183, 9.95, 1.777, 1.02, 0.90, 0.88, 0.88, 0.85, 0.85, 0.86, 0.86, 0.89
Christian Coleman, 0.123, 9.94, 1.747, 1.00, 0.90, 0.88, 0.87, 0.86, 0.88, 0.88, 0.88, 0.92
Justin Gatlin, 0.138, 9.92, 1.742, 1.02, 0.91, 0.90, 0.88, 0.86, 0.86, 0.87, 0.87, 0.87
Hong Mi, 0.13, 10.49, 1.79, 1.08, 0.97, 0.96, 0.92, 0.90, 1.12, 0.73, 0.94, 0.95
Jinsheng Liang, 0.16, 10.37, 1.78, 1.06, 0.96, 0.95, 0.92, 0.88, 0.89, 0.90, 0.94, 0.93
Peimeng Zhang, 0.15, 10.34, 1.75, 1.10, 0.95, 0.94, 0.93, 0.90, 0.88, 0.89, 0.91, 0.94
Zhouzheng Xu, 0.15, 10.31, 1.79, 1.06, 0.93, 0.94, 0.90, 0.86, 0.90, 0.90, 0.92, 0.96
Zhiqiang Wu, 0.15, 10.31, 1.78, 1.05, 0.95, 0.92, 0.90, 0.89, 0.90, 0.89, 0.93, 0.95
Haiyang Xu, 0.15, 10.28, 1.74, 1.12, 0.95, 0.93, 0.89, 0.86, 0.89, 0.89, 0.91, 0.95
Bingtian Su, 0.13, 10.10, 1.70, 1.06, 0.91, 0.91, 0.90, 0.88, 0.87, 0.89, 0.89, 0.96
Zhenye Xie, 0.14, 10.04, 1.72, 1.04, 0.91, 0.91, 0.89, 0.86, 0.86, 0.88, 0.89, 0.94
Yoshihide Kiryu, 0.139, 9.98, 1.711, 1.07, 0.95, 0.90, 0.87, 0.86, 0.86, 0.86, 0.87, 0.89
Ippei Takeda, 0.135, 10.35, 1.725, 1.07, 0.97, 0.93, 0.91, 0.90, 0.90, 0.92, 0.93, 0.96
Hayato Suda, 0.118, 10.30, 1.742, 1.07, 0.96, 0.92, 0.90, 0.89, 0.90, 0.91, 0.93, 0.96
Rohan Browning, , 10.21, 1.95, 1.02, 0.94, 0.92, 0.88, 0.86, 0.88, 0.91, 0.92, 0.93
Trae Williams, , 10.10, 1.86, 1.04, 0.93, 0.92, 0.89, 0.87, 0.89, 0.89, 0.90, 0.91
Keisuke Ushiro, , 11.62, 2.00, 1.16, 1.07, 1.05, 1.04, 1.04, 1.05, 1.06, 1.07, 1.08
Tsuyoshi ShImizu, , 11.04, 1.99, 1.14, 1.03, 0.99, 0.97, 0.96, 0.96, 0.98, 1.00, 1.02
Akihiko Nakamura, , 10.90, 1.93, 1.12, 1.02, 0.98, 0.96, 0.95, 0.96, 0.97, 0.99, 1.02
Kuk-Young Kim, , 10.17, 1.88, 1.07, 0.95, 0.90, 0.89, 0.87, 0.88, 0.89, 0.91, 0.93
Daisuke Miyamoto, , 10.35, 1.88, 1.07, 0.96, 0.92, 0.91, 0.90, 0.91, 0.92, 0.93, 0.95
Yuki Koike, , 10.29, 1.91, 1.06, 0.96, 0.92, 0.90, 0.89, 0.89, 0.91, 0.92, 0.93
Aska Cambridge, , 10.26, 1.91, 1.06, 0.97, 0.91, 0.90, 0.89, 0.89, 0.89, 0.91, 0.93
Ryota Yamagata, , 10.17, 1.87, 1.06, 0.95, 0.91, 0.88, 0.88, 0.89, 0.89, 0.91, 0.93
Shuhei Tada, 0.150, 10.32, 1.730, 1.05, 0.96, 0.91, 0.90, 0.90, 0.91, 0.92, 0.93, 0.96
Aska Cambridge, 0.145, 10.19, 1.765, 1.07, 0.96, 0.91, 0.88, 0.88, 0.88, 0.88, 0.90, 0.92
Yoshihide Kiryu, 0.135, 10.17, 1.745, 1.05, 0.95, 0.90, 0.89, 0.88, 0.89, 0.89, 0.91, 0.93
Isiah Young, 0.140, 10.13, 1.730, 1.06, 0.95, 0.91, 0.88, 0.88, 0.87, 0.89, 0.90, 0.92
Ryota Yamagata, 0.142, 10.13, 1.728, 1.04, 0.95, 0.90, 0.88, 0.88, 0.88, 0.90, 0.90, 0.93
Justin Gatlin, 0.154, 10.06, 1.706, 1.05, 0.95, 0.90, 0.88, 0.87, 0.87, 0.87, 0.90, 0.91
Yuki Koike, , 10.24, 1.87, 1.07, 0.97, 0.92, 0.89, 0.89, 0.88, 0.90, 0.91, 0.94
Aska Cambridge, , 10.21, 1.86, 1.08, 0.96, 0.91, 0.89, 0.88, 0.89, 0.89, 0.91, 0.94
Shota Iizuka, , 10.21, 1.86, 1.08, 0.96, 0.92, 0.89, 0.88, 0.88, 0.89, 0.92, 0.93
Ryota Yamagata, , 10.12, 1.84, 1.06, 0.96, 0.90, 0.89, 0.87, 0.88, 0.88, 0.91, 0.93
Kimihito Morimoto, , 10.90, 2.02, 1.13, 1.02, 0.97, 0.96, 0.95, 0.95, 0.95, 0.97, 0.98
Yuma Maruyama, , 10.80, 1.97, 1.11, 1.02, 0.97, 0.94, 0.95, 0.94, 0.95, 0.97, 0.98
Akihiko Nakamura, , 10.79, 1.95, 1.11, 1.01, 0.96, 0.95, 0.94, 0.95, 0.95, 0.98, 0.99
Shuhei Tada, 0.147, 10.22, 1.723, 1.05, 0.95, 0.91, 0.89, 0.88, 0.90, 0.90, 0.92, 0.95
Yuki Koike, 0.162, 10.17, 1.718, 1.06, 0.95, 0.91, 0.88, 0.88, 0.88, 0.89, 0.91, 0.93
Yoshihide Kiryu, 0.144, 10.16, 1.756, 1.07, 0.95, 0.90, 0.89, 0.87, 0.88, 0.88, 0.90, 0.92
Aska Cambridge, 0.143, 10.14, 1.777, 1.07, 0.96, 0.90, 0.88, 0.87, 0.86, 0.88, 0.89, 0.91
Ryota Yamagata, 0.141, 10.05, 1.709, 1.04, 0.95, 0.89, 0.88, 0.87, 0.87, 0.88, 0.90, 0.92
Yahiro Matsubara, , 11.82, 1.99, 1.12, 1.01, 0.97, 0.97, 0.98, 1.03, 1.10, 1.22, 1.43
Kotaro Yamaji, , 10.74, 2.00, 1.12, 1.00, 0.95, 0.94, 0.92, 0.93, 0.95, 0.95, 0.98
Mirai Yamamoto, , 10.71, 1.97, 1.11, 1.00, 0.95, 0.93, 0.92, 0.94, 0.94, 0.97, 0.98
Daichi Okubo, , 10.68, 1.96, 1.10, 0.99, 0.95, 0.92, 0.93, 0.94, 0.94, 0.97, 0.98
Syota Nakamura, , 10.65, 1.94, 1.09, 0.98, 0.95, 0.92, 0.93, 0.94, 0.95, 0.96, 0.99
Shin Tatsumi, , 10.51, 1.88, 1.07, 0.96, 0.92, 0.92, 0.92, 0.93, 0.94, 0.97, 1.00
Takumi Kuwano, , 10.47, 1.89, 1.07, 0.97, 0.94, 0.91, 0.91, 0.92, 0.94, 0.95, 0.97
Justin Junpei Tsukamoto, , 10.43, 1.94, 1.08, 0.96, 0.92, 0.91, 0.90, 0.91, 0.92, 0.94, 0.95
Lalu Muhammad Zohri, 0.145, 10.20, 1.755, 1.05, 0.95, 0.90, 0.88, 0.87, 0.88, 0.90, 0.92, 0.95
Chun-Han Yang, 0.146, 10.17, 1.734, 1.07, 0.95, 0.91, 0.89, 0.87, 0.88, 0.89, 0.90, 0.93
Abdullah Abkar Mohammed, 0.112, 10.10, 1.738, 1.07, 0.96, 0.90, 0.89, 0.87, 0.88, 0.88, 0.89, 0.91
Ryota Yamagata, 0.133, 10.00, 1.697, 1.05, 0.94, 0.90, 0.87, 0.86, 0.87, 0.88, 0.89, 0.91
Tosin Ogunode, 0.125, 10.00, 1.685, 1.06, 0.94, 0.90, 0.88, 0.86, 0.87, 0.88, 0.89, 0.91
Bingtian Su, 0.143, 9.92, 1.657, 1.03, 0.93, 0.89, 0.87, 0.86, 0.87, 0.88, 0.88, 0.91
Yu Onabuta, 0.147, 10.34, 1.783, 1.08, 0.98, 0.93, 0.91, 0.90, 0.89, 0.90, 0.90, 0.92
Takuya Kawakami, 0.131, 10.33, 1.739, 1.04, 0.95, 0.91, 0.89, 0.90, 0.91, 0.93, 0.95, 0.98
Yoshihide Kiryu, 0.130, 10.22, 1.770, 1.07, 0.96, 0.91, 0.89, 0.88, 0.88, 0.89, 0.91, 0.93
Ryota Yamagata, 0.116, 10.01, 1.714, 1.06, 0.94, 0.90, 0.87, 0.86, 0.87, 0.87, 0.89, 0.92
Chun-Han Yang, 0.141, 10.28, 1.769, 1.07, 0.96, 0.92, 0.90, 0.90, 0.89, 0.90, 0.91, 0.92
Andrew Fisher, 0.140, 10.20, 1.720, 1.05, 0.94, 0.91, 0.89, 0.89, 0.89, 0.90, 0.93, 0.94
Zhiqiang Wu, 0.145, 10.18, 1.725, 1.05, 0.96, 0.91, 0.90, 0.89, 0.88, 0.90, 0.90, 0.92
Bruno Chikwadoryo Dede, , 10.29, 1.92, 1.08, 0.97, 0.92, 0.90, 0.89, 0.90, 0.89, 0.90, 0.92
Kirara Shiraishi, , 10.19, 1.91, 1.07, 0.96, 0.91, 0.89, 0.89, 0.88, 0.88, 0.89, 0.91
Kendal Williams, 0.145, 10.20, 1.745, 1.08, 0.97, 0.91, 0.89, 0.88, 0.88, 0.88, 0.90, 0.92
Cameron Burrell, 0.138, 10.12, 1.742, 1.04, 0.94, 0.90, 0.87, 0.88, 0.87, 0.89, 0.91, 0.94
Shuhei Tada, 0.157, 10.12, 1.703, 1.04, 0.95, 0.89, 0.88, 0.87, 0.88, 0.89, 0.92, 0.94
Ryota Yamagata, 0.119, 10.11, 1.761, 1.06, 0.94, 0.90, 0.88, 0.87, 0.87, 0.89, 0.90, 0.92
Lalu Muhammad Zohri, 0.179, 10.03, 1.721, 1.04, 0.93, 0.90, 0.87, 0.86, 0.86, 0.88, 0.88, 0.91
Yoshihide Kiryu, 0.138, 10.01, 1.722, 1.04, 0.94, 0.90, 0.87, 0.86, 0.86, 0.87, 0.89, 0.92
Masafumi Naoki, 0.112, 10.39, 1.758, 1.09, 0.97, 0.93, 0.91, 0.90, 0.91, 0.91, 0.94, 0.96
Keisuke Ushiro, , 11.32, 2.03, 1.15, 1.04, 1.00, 0.99, 0.99, 1.00, 1.01, 1.04, 1.07
Yuma Maruyama, , 10.94, 1.97, 1.13, 1.03, 0.99, 0.97, 0.96, 0.96, 0.97, 0.97, 0.99
Akihiko Nakamura, , 10.86, 1.92, 1.12, 1.01, 0.97, 0.96, 0.95, 0.96, 0.97, 0.99, 1.01
Ryuichiro Sakai, 0.131, 10.28, 1.709, 1.06, 0.96, 0.93, 0.90, 0.90, 0.90, 0.92, 0.92, 0.95
Soshi Mizukubo, 0.126, 10.36, 1.744, 1.08, 0.97, 0.93, 0.91, 0.91, 0.90, 0.91, 0.93, 0.95
Aska Cambridge, 0.129, 10.20, 1.741, 1.08, 0.96, 0.91, 0.89, 0.88, 0.88, 0.89, 0.91, 0.93
Shota Iizuka, 0.154, 10.24, 1.756, 1.06, 0.96, 0.91, 0.89, 0.88, 0.89, 0.89, 0.92, 0.93
Abdul Hakim Sani Brown, 0.153, 10.02, 1.747, 1.03, 0.93, 0.89, 0.87, 0.86, 0.87, 0.87, 0.89, 0.91
Yuki Koike, 0.137, 9.98, 1.743, 1.03, 0.94, 0.89, 0.87, 0.86, 0.87, 0.87, 0.88, 0.89
Hong Mi, , 10.51, 1.93, 1.05, 0.97, 0.93, 0.93, 0.91, 0.93, 0.93, 0.94, 0.99
Yingrui Quan, , 10.39, 1.95, 1.06, 0.96, 0.92, 0.90, 0.89, 0.91, 0.91, 0.93, 0.96
Dajun Xuan, , 10.29, 1.89, 1.07, 0.96, 0.92, 0.90, 0.90, 0.90, 0.91, 0.91, 0.93
Zhiqiang Wu, , 10.27, 1.93, 1.06, 0.95, 0.92, 0.88, 0.88, 0.90, 0.90, 0.91, 0.94
Jinsheng Liang, , 10.21, 1.92, 1.06, 0.94, 0.92, 0.89, 0.90, 0.89, 0.88, 0.89, 0.92
Zhouzheng Xu, , 10.20, 1.94, 1.01, 0.95, 0.91, 0.89, 0.87, 0.89, 0.90, 0.90, 0.94
Bingtian Su, , 10.19, 1.86, 1.03, 0.96, 0.91, 0.89, 0.88, 0.89, 0.91, 0.91, 0.95
Zhenye Xie, , 10.03, 1.92, 1.02, 0.96, 0.88, 0.88, 0.86, 0.86, 0.87, 0.88, 0.90
Hiroto Fujiwara, , 10.54, 1.95, 1.08, 0.98, 0.93, 0.91, 0.91, 0.91, 0.93, 0.95, 0.99
Kazuya Miyauchi, , 10.52, 1.94, 1.08, 0.97, 0.93, 0.91, 0.91, 0.92, 0.93, 0.95, 0.98
Oga Shitara, , 10.52, 1.93, 1.10, 0.98, 0.94, 0.92, 0.91, 0.91, 0.93, 0.93, 0.97
Shota Nakamura, , 10.47, 1.93, 1.08, 0.98, 0.93, 0.91, 0.90, 0.90, 0.92, 0.94, 0.98
Teppei Tsukagichi, , 10.43, 1.92, 1.09, 0.98, 0.93, 0.91, 0.89, 0.91, 0.91, 0.93, 0.96
Kosuke Iwamoto, , 10.43, 1.94, 1.08, 0.96, 0.92, 0.90, 0.90, 0.90, 0.91, 0.94, 0.98
Kanata Hayashi, , 10.29, 1.89, 1.06, 0.96, 0.91, 0.90, 0.89, 0.89, 0.91, 0.92, 0.96
Towa Uzawa, , 10.19, 1.92, 1.06, 0.95, 0.90, 0.88, 0.88, 0.88, 0.89, 0.90, 0.93
Tatsuro Miyagi, , 10.25, 1.92, 1.08, 0.97, 0.92, 0.90, 0.88, 0.89, 0.88, 0.90, 0.91
Takuya Kawakami, , 10.22, 1.83, 1.05, 0.95, 0.91, 0.89, 0.90, 0.89, 0.92, 0.93, 0.95
Bingtian Su, 0.129, 10.21, 1.731, 1.06, 0.96, 0.91, 0.89, 0.89, 0.89, 0.90, 0.92, 0.93
Zhenye Xie, 0.188, 10.14, 1.742, 1.05, 0.93, 0.90, 0.87, 0.87, 0.88, 0.88, 0.90, 0.93
Zharnel Hughes, 0.119, 10.03, 1.791, 1.06, 0.94, 0.89, 0.86, 0.86, 0.85, 0.86, 0.88, 0.92
Akani Simbine, 0.117, 9.93, 1.753, 1.05, 0.93, 0.89, 0.86, 0.86, 0.85, 0.86, 0.87, 0.89
Andre de Grasse, 0.140, 9.99, 1.740, 1.06, 0.94, 0.89, 0.86, 0.85, 0.84, 0.85, 0.86, 0.96
Justin Gatlin, 0.148, 9.89, 1.692, 1.04, 0.93, 0.89, 0.86, 0.86, 0.85, 0.86, 0.87, 0.89
Christian Coleman, 0.128, 9.76, 1.702, 1.02, 0.92, 0.87, 0.84, 0.84, 0.84, 0.85, 0.87, 0.88
Makoto Izawa, 0.107, 10.42, 1.763, 1.06, 0.97, 0.92, 0.91, 0.91, 0.91, 0.93, 0.96, 0.98
Ryota Yamagata, 0.125, 10.42, 1.745, 1.07, 0.97, 0.93, 0.92, 0.91, 0.92, 0.93, 0.94, 0.96
Hiroto Fujiwara, 0.151, 10.58, 1.769, 1.10, 0.99, 0.94, 0.92, 0.91, 0.92, 0.94, 0.95, 0.99
Kosuke Kawata, 0.128, 10.49, 1.742, 1.09, 0.98, 0.95, 0.92, 0.92, 0.92, 0.93, 0.95, 0.96
Tatsuki Goto, 0.158, 10.87, 1.792, 1.11, 1.01, 0.97, 0.95, 0.95, 0.96, 0.97, 0.99, 1.01
Mizuki Inoue, 0.151, 10.55, 1.729, 1.08, 0.99, 0.94, 0.93, 0.92, 0.93, 0.95, 0.95, 0.98
Hiroki Yanagita, 0.157, 10.25, 1.713, 1.08, 0.96, 0.92, 0.90, 0.90, 0.89, 0.90, 0.91, 0.92
Ippei Takeda, 0.149, 10.25, 1.721, 1.08, 0.96, 0.92, 0.90, 0.90, 0.89, 0.90, 0.91, 0.92
Kirara Shiraishi, , 10.31, 1.87, 1.08, 0.98, 0.93, 0.90, 0.90, 0.89, 0.91, 0.92, 0.93
Soshi Mizukubo, , 10.26, 1.86, 1.08, 0.98, 0.93, 0.90, 0.89, 0.89, 0.89, 0.91, 0.93
Shuhei Tada, , 10.18, 1.84, 1.07, 0.95, 0.91, 0.89, 0.88, 0.89, 0.90, 0.91, 0.94
Shuhei Tada, , 10.21, 1.87, 1.06, 0.95, 0.91, 0.89, 0.88, 0.89, 0.90, 0.92, 0.94
Yuki Koike, , 10.19, 1.93, 1.08, 0.96, 0.91, 0.88, 0.88, 0.87, 0.88, 0.89, 0.91
Yoshihide Kiryu, , 10.06, 1.84, 1.07, 0.95, 0.91, 0.88, 0.87, 0.87, 0.88, 0.89, 0.90
Aska Cambridge, , 10.03, 1.87, 1.07, 0.95, 0.90, 0.88, 0.86, 0.86, 0.87, 0.87, 0.90
Shoei Taka, , 10.61, 1.88, 1.11, 1.00, 0.96, 0.93, 0.93, 0.93, 0.94, 0.95, 0.98
Shota Iizuka, , 10.25, 1.88, 1.08, 0.97, 0.92, 0.90, 0.88, 0.89, 0.89, 0.91, 0.93
Jun Yamashita, 0.128, 10.37, 1.792, 1.07, 0.97, 0.92, 0.90, 0.90, 0.90, 0.91, 0.93, 0.95
Seiya Kusano, 0.123, 10.30, 1.747, 1.06, 0.97, 0.91, 0.90, 0.90, 0.90, 0.91, 0.93, 0.95
Keisuke Ushiro, , 11.41, 2.05, 1.15, 1.05, 1.01, 1.00, 0.99, 1.01, 1.03, 1.05, 1.07
Akihiko Nakamura, , 11.02, 1.97, 1.13, 1.02, 0.99, 0.97, 0.96, 0.98, 0.98, 1.00, 1.02
Shun Taue, , 11.01, 2.01, 1.13, 1.03, 0.98, 0.96, 0.96, 0.96, 0.98, 0.99, 1.01
Bruno Chikwadoryo Dede, 0.134, 10.43, 1.776, 1.07, 0.96, 0.93, 0.90, 0.91, 0.91, 0.92, 0.95, 0.97
Daisuke Miyamoto, 0.137, 10.40, 1.763, 1.07, 0.97, 0.92, 0.91, 0.90, 0.91, 0.92, 0.94, 0.96
Ryota Suzuki, 0.135, 10.41, 1.735, 1.08, 0.98, 0.93, 0.91, 0.91, 0.91, 0.93, 0.93, 0.96
Sota Miwa, 0.146, 10.45, 1.784, 1.09, 0.98, 0.93, 0.92, 0.90, 0.91, 0.92, 0.93, 0.94
Ippei Takeda, 0.146, 10.52, 1.734, 1.08, 0.98, 0.94, 0.92, 0.92, 0.92, 0.94, 0.96, 0.98
Hiroki Yanagita, 0.151, 10.43, 1.749, 1.07, 0.97, 0.92, 0.90, 0.91, 0.91, 0.92, 0.95, 0.98
Ryota Suzuki, 0.132, 10.41, 1.738, 1.08, 0.98, 0.93, 0.91, 0.91, 0.91, 0.93, 0.93, 0.96
Shushei Tada, 0.142, 10.34, 1.708, 1.06, 0.96, 0.91, 0.90, 0.90, 0.91, 0.92, 0.95, 0.98
