Athlete, Reaction, Time, 10m, 20m, 30m, 40m, 50m, 60m, 70m, 80m, 90m, 100m
Shota Iizuka, 0.139, 10.33, 1.751, 1.08, 0.97, 0.93, 0.90, 0.90, 0.89, 0.91, 0.92, 0.94
Yuki Koike, 0.148, 10.30, 1.752, 1.08, 0.96, 0.92, 0.90, 0.89, 0.89, 0.90, 0.92, 0.94
Aska Cambridge, 0.154, 10.28, 1.736, 1.08, 0.96, 0.92, 0.90, 0.89, 0.89, 0.90, 0.91, 0.94
Yoshihide Kiryu, 0.127, 10.27, 1.733, 1.06, 0.97, 0.92, 0.89, 0.90, 0.89, 0.91, 0.92, 0.95
慎之介 加藤, 0.175, 10.54, 1.785, 1.09, 0.99, 0.94, 0.92, 0.92, 0.91, 0.92, 0.94, 0.95
Hiroto Fujiwara, 0.153, 10.53, 1.787, 1.08, 0.97, 0.94, 0.91, 0.91, 0.92, 0.93, 0.95, 0.98
Kaishin Shimada, 0.142, 10.51, 1.748, 1.08, 0.98, 0.93, 0.92, 0.91, 0.92, 0.94, 0.95, 0.99
大樹 重谷, 0.150, 10.44, 1.750, 1.07, 0.97, 0.93, 0.92, 0.91, 0.91, 0.93, 0.94, 0.96
Shoei Taka, 0.140, 10.58, 1.740, 1.09, 0.99, 0.95, 0.93, 0.93, 0.93, 0.95, 0.95, 0.98
Sota Miwa, 0.160, 10.39, 1.770, 1.08, 0.97, 0.92, 0.90, 0.90, 0.90, 0.91, 0.93, 0.95
Hiroto Fujiwara, 0.174, 10.65, 1.806, 1.09, 0.99, 0.94, 0.92, 0.93, 0.92, 0.94, 0.96, 0.98
慎之介 加藤, 0.173, 10.62, 1.807, 1.10, 0.99, 0.95, 0.93, 0.92, 0.92, 0.93, 0.94, 0.96
Shoei Taka, 0.173, 10.61, 1.747, 1.10, 1.00, 0.95, 0.94, 0.93, 0.93, 0.93, 0.95, 0.96
Kaishin Shimada, 0.164, 10.55, 1.766, 1.09, 0.98, 0.94, 0.93, 0.91, 0.92, 0.93, 0.95, 0.97
大樹 重谷, 0.155, 10.54, 1.745, 1.09, 0.99, 0.94, 0.93, 0.92, 0.93, 0.93, 0.95, 0.96
Sota Miwa, 0.173, 10.48, 1.777, 1.09, 0.98, 0.93, 0.92, 0.91, 0.91, 0.92, 0.93, 0.94
Shinpei Fukagawa, 0.164, 10.92, 1.806, 1.11, 1.01, 0.96, 0.96, 0.95, 0.97, 0.97, 1.00, 1.02
Shota Nakamura, 0.149, 10.83, 1.781, 1.10, 1.01, 0.96, 0.95, 0.95, 0.96, 0.97, 0.99, 1.01
Kazuya Miyauchi, 0.167, 10.81, 1.763, 1.11, 1.00, 0.97, 0.95, 0.94, 0.95, 0.97, 0.98, 1.01
Oga Shitara, 0.163, 10.80, 1.777, 1.10, 1.00, 0.97, 0.95, 0.95, 0.95, 0.97, 0.98, 0.99
Shodai Hirano, 0.155, 10.78, 1.775, 1.09, 0.99, 0.96, 0.95, 0.94, 0.96, 0.96, 0.99, 1.01
Kanata Hayashi, 0.144, 10.72, 1.766, 1.09, 1.00, 0.95, 0.95, 0.94, 0.95, 0.96, 0.98, 0.99
Shuhei Tada, 0.136, 10.01, 1.694, 1.04, 0.94, 0.89, 0.87, 0.87, 0.87, 0.88, 0.90, 0.92
Ryota Yamagata, 0.127, 9.95, 1.703, 1.05, 0.94, 0.89, 0.87, 0.86, 0.86, 0.87, 0.88, 0.90
Yuhi Mori, 0.159, 10.62, 1.801, 1.09, 0.99, 0.95, 0.93, 0.93, 0.93, 0.94, 0.95, 0.95
Daiti Terasawa, 0.138, 10.59, 1.832, 1.10, 0.98, 0.94, 0.92, 0.91, 0.92, 0.93, 0.95, 0.97
So Kuboi, 0.119, 10.53, 1.781, 1.09, 0.98, 0.93, 0.92, 0.92, 0.92, 0.94, 0.95, 0.98
Makoto Shikata, 0.115, 10.52, 1.805, 1.09, 0.98, 0.94, 0.92, 0.92, 0.92, 0.93, 0.94, 0.96
Aki Saga, 0.158, 10.52, 1.762, 1.09, 0.99, 0.93, 0.92, 0.91, 0.91, 0.93, 0.95, 0.97
Rai Atago, 0.133, 10.47, 1.787, 1.09, 0.98, 0.94, 0.92, 0.91, 0.91, 0.92, 0.93, 0.95
Naoki Inoue, 0.160, 10.45, 1.760, 1.08, 0.98, 0.93, 0.92, 0.92, 0.91, 0.92, 0.93, 0.94
Hiroki Yanagita, 0.139, 10.31, 1.771, 1.07, 0.96, 0.92, 0.90, 0.89, 0.90, 0.90, 0.92, 0.94
Yoshinori Isa, 0.148, 11.66, 1.892, 1.18, 1.09, 1.04, 1.02, 1.03, 1.03, 1.06, 1.07, 1.10
Shun Taue, 0.132, 11.14, 1.818, 1.14, 1.04, 1.00, 0.98, 0.98, 0.98, 1.00, 1.02, 1.05
Yuma Maruyama, 0.130, 11.01, 1.850, 1.15, 1.03, 0.99, 0.97, 0.96, 0.96, 0.97, 0.99, 1.01
Akihiko Nakamura, 0.134, 11.06, 1.836, 1.12, 1.03, 0.99, 0.97, 0.97, 0.97, 0.99, 1.02, 1.03
Keisuke Okuda, 0.117, 10.71, 1.803, 1.11, 1.00, 0.96, 0.94, 0.94, 0.93, 0.95, 0.97, 0.99
Keisuke Ushiro, , 11.45, 2.05, 1.15, 1.06, 1.02, 1.00, 1.00, 1.02, 1.02, 1.05, 1.08
Shun Taue, , 11.12, 1.97, 1.14, 1.03, 0.99, 0.97, 0.97, 0.98, 1.00, 1.02, 1.05
Akihiko Nakamura, , 10.93, 1.93, 1.12, 1.02, 0.97, 0.96, 0.96, 0.97, 0.98, 1.00, 1.02
Keisuke Okuda, , 10.82, 1.94, 1.12, 1.01, 0.96, 0.95, 0.94, 0.95, 0.96, 0.98, 1.01
Mizuki Senda, 0.131, 10.75, 1.799, 1.12, 1.01, 0.96, 0.95, 0.94, 0.94, 0.95, 0.97, 0.98
Riki Tamura, 0.126, 10.71, 1.764, 1.11, 1.00, 0.95, 0.95, 0.94, 0.94, 0.96, 0.98, 0.99
Yota Tsurumaki, 0.150, 10.70, 1.760, 1.11, 1.00, 0.96, 0.94, 0.94, 0.94, 0.95, 0.96, 0.99
Kaito Kuroki, 0.149, 10.67, 1.741, 1.10, 1.00, 0.95, 0.94, 0.93, 0.94, 0.96, 0.97, 0.99
Takuma Kojima, 0.150, 10.57, 1.750, 1.09, 0.98, 0.95, 0.93, 0.93, 0.93, 0.94, 0.95, 0.97
Ruo Ekejunia, 0.141, 10.54, 1.789, 1.10, 0.99, 0.93, 0.92, 0.91, 0.92, 0.93, 0.94, 0.97
Kouei Tachibana, 0.139, 10.54, 1.751, 1.09, 0.98, 0.94, 0.93, 0.92, 0.93, 0.93, 0.96, 0.97
Yuta Sekiguchi, 0.157, 10.38, 1.703, 1.08, 0.97, 0.92, 0.91, 0.91, 0.92, 0.92, 0.93, 0.96
Fall Mouhamadou, 0.136, 10.25, 1.864, 1.06, 0.95, 0.91, 0.88, 0.89, 0.87, 0.88, 0.89, 0.92
Jermiah Azu, 0.166, 10.20, 1.744, 1.06, 0.95, 0.91, 0.90, 0.89, 0.88, 0.88, 0.89, 0.93
Yohan Blake, 0.148, 10.18, 1.692, 1.08, 0.95, 0.91, 0.90, 0.90, 0.88, 0.89, 0.90, 0.93
Trayvon Bromell, 0.139, 10.10, 1.711, 1.04, 0.94, 0.91, 0.89, 0.88, 0.88, 0.88, 0.89, 0.94
Letsile Tebogo, 0.173, 10.09, 1.737, 1.05, 0.96, 0.91, 0.88, 0.88, 0.87, 0.86, 0.87, 0.90
Ferdinand Omanyala, 0.164, 10.05, 1.746, 1.07, 0.92, 0.88, 0.87, 0.86, 0.85, 0.90, 0.86, 0.93
Akani Simbine, 0.162, 9.99, 1.768, 1.05, 0.94, 0.89, 0.87, 0.86, 0.85, 0.85, 0.87, 0.88
Fred Kerley, 0.149, 9.94, 1.731, 1.03, 0.94, 0.89, 0.87, 0.87, 0.85, 0.86, 0.86, 0.89
Marvin Bracy-Williams, 0.212, 10.23, 1.728, 1.04, 0.94, 0.90, 0.88, 0.88, 0.88, 0.88, 0.90, 0.99
Yohan Blake, 0.143, 10.15, 1.727, 1.05, 0.95, 0.90, 0.89, 0.89, 0.89, 0.89, 0.89, 0.93
Rohan Browning, 0.128, 10.15, 1.802, 1.07, 0.93, 0.90, 0.85, 0.90, 0.87, 0.89, 0.89, 0.92
Samuele Ceccarelli, 0.160, 10.13, 1.750, 1.03, 0.94, 0.90, 0.90, 0.89, 0.88, 0.86, 0.90, 0.92
Akani Simbine, 0.164, 10.09, 1.786, 1.05, 0.95, 0.94, 0.91, 0.90, 0.77, 0.87, 0.86, 0.89
Trayvon Bromell, 0.162, 10.09, 1.738, 1.03, 0.95, 0.90, 0.88, 0.88, 0.87, 0.88, 0.88, 0.92
Ferdinand Omanyala, 0.172, 10.05, 1.768, 1.03, 0.93, 0.89, 0.87, 0.87, 0.85, 0.88, 0.88, 0.91
Fred Kerley, 0.157, 9.94, 1.763, 1.02, 0.94, 0.89, 0.87, 0.86, 0.85, 0.86, 0.85, 0.88
Onyema Adigida, 0.187, 10.65, 1.803, 1.09, 0.99, 0.96, 0.92, 0.92, 0.92, 0.93, 0.94, 0.99
Antoine Snyders, 0.141, 10.64, 1.869, 1.11, 0.99, 0.94, 0.92, 0.91, 0.92, 0.92, 0.95, 0.97
Cedrych van der Graaf, 0.137, 10.60, 1.823, 1.08, 0.98, 0.94, 0.93, 0.92, 0.92, 0.94, 0.95, 0.98
Cédric Fini, 0.139, 10.59, 1.841, 1.10, 1.00, 0.96, 0.93, 0.91, 0.92, 0.92, 0.93, 0.94
Valentijn Hoornaert, 0.137, 10.57, 1.823, 1.08, 0.98, 0.93, 0.93, 0.92, 0.92, 0.93, 0.94, 0.98
Hensley Paulina, 0.110, 10.40, 1.820, 1.10, 0.97, 0.93, 0.91, 0.91, 0.90, 0.90, 0.91, 0.94
Joris van Gool, 0.143, 10.39, 1.777, 1.06, 0.96, 0.92, 0.92, 0.91, 0.91, 0.92, 0.92, 0.95
Nskiak Ekpo, 0.141, 10.35, 1.789, 1.09, 0.96, 0.93, 0.90, 0.90, 0.90, 0.90, 0.91, 0.93
Jermiah Azu, 0.135, 10.21, 1.745, 1.05, 0.95, 0.91, 0.90, 0.89, 0.89, 0.90, 0.90, 0.94
Benjamin Azamati, 0.123, 10.18, 1.797, 1.05, 0.94, 0.89, 0.89, 0.87, 0.89, 0.89, 0.90, 0.94
Aaron Brown, 0.186, 10.15, 1.684, 1.06, 0.95, 0.92, 0.90, 0.89, 0.88, 0.89, 0.88, 0.91
Ronnie Baker, 0.135, 10.13, 1.735, 1.06, 0.95, 0.91, 0.88, 0.88, 0.88, 0.89, 0.88, 0.93
Marvin Bracy-Williams, 0.142, 10.10, 1.738, 1.06, 0.94, 0.89, 0.88, 0.87, 0.88, 0.88, 0.88, 0.94
Raphael Bouju, 0.140, 10.09, 1.720, 1.05, 0.95, 0.90, 0.89, 0.88, 0.88, 0.88, 0.88, 0.92
Yohan Blake, 0.140, 10.05, 1.710, 1.05, 0.95, 0.90, 0.89, 0.88, 0.87, 0.87, 0.88, 0.91
Reece Prescod, 0.126, 9.99, 1.774, 1.05, 0.94, 0.90, 0.87, 0.87, 0.86, 0.86, 0.85, 0.89
Fall Mouhamadou, 0.152, 10.22, 1.758, 1.07, 0.95, 0.91, 0.89, 0.88, 0.89, 0.89, 0.89, 0.94
Lamont Marcell Jacobs, 0.140, 10.21, 1.730, 1.05, 0.95, 0.90, 0.89, 0.89, 0.88, 0.90, 0.92, 0.96
Benjamin Azamati, 0.187, 10.20, 1.703, 1.05, 0.94, 0.91, 0.89, 0.88, 0.89, 0.90, 0.90, 0.95
Ronnie Baker, 0.151, 10.17, 1.709, 1.05, 0.94, 0.91, 0.89, 0.89, 0.89, 0.89, 0.90, 0.95
Yohan Blake, 0.145, 10.16, 1.715, 1.05, 0.95, 0.90, 0.89, 0.89, 0.88, 0.89, 0.90, 0.95
Letsile Tebogo, 0.148, 10.05, 1.712, 1.06, 0.95, 0.90, 0.89, 0.88, 0.86, 0.86, 0.88, 0.91
Ferdinand Omanyala, 0.159, 9.98, 1.741, 1.04, 0.93, 0.87, 0.87, 0.87, 0.85, 0.86, 0.88, 0.91
Noah Lyles, 0.167, 9.97, 1.773, 1.05, 0.94, 0.89, 0.87, 0.85, 0.85, 0.85, 0.85, 0.88
Marc Perrin, 0.139, 10.95, 1.801, 1.07, 0.99, 0.95, 0.95, 0.96, 0.98, 0.99, 1.02, 1.10
Alan Pichonnaz, 0.173, 10.94, 1.927, 1.12, 1.00, 0.96, 0.94, 0.94, 0.95, 0.96, 0.98, 0.99
Lucien Kern, 0.149, 10.88, 1.871, 1.10, 1.00, 0.96, 0.95, 0.94, 0.96, 0.97, 0.99, 0.99
Joshua Eichenberger, 0.131, 10.74, 1.819, 1.10, 0.99, 0.96, 0.94, 0.95, 0.94, 0.96, 0.97, 0.98
Joël Csontos, 0.161, 10.74, 1.789, 1.10, 1.00, 0.96, 0.93, 0.94, 0.94, 0.95, 0.97, 1.00
Alexis Hirsiger, 0.183, 10.73, 1.807, 1.09, 1.00, 0.95, 0.93, 0.94, 0.94, 0.95, 0.96, 0.98
Felix Svensson, 0.144, 10.60, 1.836, 1.09, 0.99, 0.94, 0.93, 0.92, 0.92, 0.93, 0.94, 0.96
Pascal Mancini, 0.139, 10.52, 1.801, 1.08, 0.98, 0.93, 0.93, 0.91, 0.92, 0.92, 0.95, 0.96
Milo Wahlgren, 0.140, 10.81, 1.860, 1.09, 1.01, 0.95, 0.95, 0.95, 0.94, 0.95, 0.98, 0.99
Viktor Thor, 0.145, 10.71, 1.825, 1.10, 1.00, 0.96, 0.93, 0.94, 0.93, 0.95, 0.96, 0.97
Simon Plesse, 0.194, 10.67, 1.796, 1.07, 0.98, 0.94, 0.94, 0.92, 0.94, 0.95, 0.97, 0.97
Isak Hughes, 0.142, 10.57, 1.858, 1.08, 0.99, 0.94, 0.92, 0.92, 0.91, 0.94, 0.94, 0.93
Desmond Rogo, 0.133, 10.55, 1.857, 1.10, 0.99, 0.95, 0.92, 0.91, 0.91, 0.92, 0.93, 0.93
Jerome Blake, 0.147, 10.30, 1.853, 1.07, 0.98, 0.92, 0.90, 0.88, 0.87, 0.89, 0.90, 0.89
Benjamin Richardson, 0.163, 10.24, 1.777, 1.07, 0.96, 0.91, 0.89, 0.88, 0.89, 0.88, 0.91, 0.91
Joshua Hartmann, 0.153, 10.23, 1.807, 1.06, 0.96, 0.91, 0.89, 0.89, 0.87, 0.89, 0.90, 0.90
Jimmy Vicaut, 0.159, 13.34, 1.811, 1.13, 1.01, 1.00, 1.02, 1.07, 1.16, 1.31, 1.58, 2.09
Henrik Larsson, 0.129, 10.46, 1.781, 1.08, 0.98, 0.93, 0.91, 0.91, 0.91, 0.92, 0.93, 0.98
Abdul Hakim Sani Brown, 0.148, 10.33, 1.762, 1.06, 0.96, 0.90, 0.90, 0.89, 0.89, 0.90, 0.93, 0.99
Aaron Brown, 0.147, 10.27, 1.773, 1.06, 0.96, 0.91, 0.87, 0.89, 0.88, 0.90, 0.91, 0.97
Raphael Bouju, 0.142, 10.24, 1.748, 1.07, 0.97, 0.91, 0.90, 0.89, 0.88, 0.90, 0.90, 0.93
Joshua Hartmann, 0.160, 10.23, 1.730, 1.08, 0.96, 0.92, 0.90, 0.89, 0.89, 0.90, 0.92, 0.88
Reece Prescod, 0.110, 10.14, 1.810, 1.07, 0.94, 0.90, 0.88, 0.87, 0.87, 0.87, 0.89, 0.93
Pjai Austin, 0.155, 10.23, 1.765, 1.05, 0.96, 0.90, 0.89, 0.89, 0.88, 0.89, 0.92, 0.93
Ackeem Blake, 0.148, 10.15, 1.752, 1.03, 0.94, 0.90, 0.89, 0.87, 0.89, 0.88, 0.90, 0.95
Marvin Bracy-Williams, 0.138, 10.10, 1.772, 1.04, 0.94, 0.90, 0.87, 0.87, 0.87, 0.88, 0.90, 0.92
Yohan Blake, 0.166, 10.01, 1.724, 1.04, 0.93, 0.90, 0.88, 0.86, 0.87, 0.86, 0.88, 0.90
Cravont Charleston, 0.151, 9.99, 1.709, 1.02, 0.93, 0.90, 0.87, 0.87, 0.87, 0.87, 0.89, 0.91
Fred Kerley, 0.152, 9.98, 1.748, 1.03, 0.94, 0.90, 0.87, 0.86, 0.86, 0.87, 0.87, 0.88
Akani Simbine, 0.150, 9.97, 1.770, 1.05, 0.94, 0.89, 0.86, 0.86, 0.85, 0.86, 0.86, 0.88
Arthur Cissé, 0.156, 10.21, 1.754, 1.05, 0.93, 0.89, 0.89, 0.87, 0.89, 0.90, 0.92, 0.96
Courtney Lindsey, 0.171, 10.16, 1.749, 1.04, 0.95, 0.91, 0.89, 0.88, 0.87, 0.89, 0.90, 0.91
Joshua Hartmann, 0.159, 10.15, 1.771, 1.06, 0.95, 0.90, 0.88, 0.87, 0.88, 0.88, 0.89, 0.91
Kishane Thompson, 0.186, 10.04, 1.734, 1.03, 0.93, 0.88, 0.87, 0.86, 0.87, 0.87, 0.89, 0.92
Yohan Blake, 0.159, 10.01, 1.721, 1.04, 0.94, 0.89, 0.88, 0.86, 0.87, 0.88, 0.87, 0.90
Akeem Blake, 0.140, 10.00, 1.730, 1.03, 0.93, 0.89, 0.88, 0.87, 0.87, 0.88, 0.89, 0.89
Letsile Tebogo, 0.138, 9.93, 1.732, 1.05, 0.95, 0.90, 0.87, 0.86, 0.85, 0.86, 0.85, 0.87
Ferdinand Omanyala, 0.156, 9.92, 1.754, 1.04, 0.93, 0.87, 0.86, 0.86, 0.85, 0.86, 0.87, 0.87
Haijian Zhang, 0.151, 10.41, 1.769, 1.05, 0.95, 0.91, 0.90, 0.91, 0.91, 0.93, 0.95, 0.98
Jiapeng Chen, 0.133, 10.39, 1.867, 1.08, 0.96, 0.92, 0.89, 0.89, 0.89, 0.91, 0.92, 0.93
Haibin Yan, 0.188, 10.35, 1.782, 1.07, 0.95, 0.91, 0.89, 0.90, 0.90, 0.91, 0.92, 0.93
Guanfeng Chen, 0.146, 10.34, 1.774, 1.05, 0.95, 0.91, 0.89, 0.89, 0.90, 0.92, 0.94, 0.97
Zhijian Deng, 0.145, 10.33, 1.785, 1.08, 0.95, 0.92, 0.90, 0.89, 0.90, 0.91, 0.92, 0.93
Shuang Wang, 0.130, 10.27, 1.800, 1.06, 0.96, 0.91, 0.89, 0.89, 0.89, 0.90, 0.92, 0.92
Rohan Watson, 0.140, 10.18, 1.770, 1.07, 0.97, 0.91, 0.89, 0.88, 0.87, 0.88, 0.89, 0.91
Zhenye Xie, 0.151, 10.12, 1.779, 1.03, 0.94, 0.89, 0.88, 0.87, 0.88, 0.88, 0.89, 0.93
Lamont Marcell Jacobs, 0.131, 10.05, 1.759, 1.06, 0.94, 0.90, 0.87, 0.86, 0.86, 0.88, 0.88, 0.91
Yohan Blake, 0.143, 10.04, 1.727, 1.05, 0.94, 0.91, 0.88, 0.87, 0.86, 0.88, 0.88, 0.90
Marvin Bracy-Williams, 0.125, 10.02, 1.765, 1.05, 0.93, 0.89, 0.87, 0.87, 0.86, 0.87, 0.88, 0.91
Brandon Carnes, 0.127, 10.01, 1.743, 1.06, 0.95, 0.90, 0.88, 0.86, 0.86, 0.87, 0.87, 0.89
Fred Kerley, 0.159, 9.96, 1.731, 1.05, 0.94, 0.90, 0.86, 0.86, 0.86, 0.86, 0.86, 0.88
Kishane Thompson, 0.145, 9.85, 1.725, 1.04, 0.91, 0.87, 0.86, 0.85, 0.85, 0.85, 0.87, 0.88
Mateo Bogaert, 0.145, 11.37, 1.955, 1.15, 1.04, 1.01, 0.99, 1.00, 0.99, 1.01, 1.03, 1.05
Tiago Lecomte, 0.155, 11.30, 1.905, 1.15, 1.05, 1.01, 1.00, 0.99, 0.99, 1.00, 1.01, 1.04
Robbe Carchon, 0.152, 11.29, 1.898, 1.14, 1.04, 1.00, 0.99, 1.00, 1.00, 1.01, 1.02, 1.04
Kobe van Raemdonck, 0.160, 11.22, 1.880, 1.15, 1.03, 0.98, 0.98, 0.98, 0.99, 1.00, 1.03, 1.04
Jilcien Planchon, 0.135, 11.12, 1.885, 1.12, 1.02, 0.97, 0.97, 0.97, 0.98, 0.99, 1.03, 1.05
Xavier Rousseau, 0.180, 11.08, 1.920, 1.13, 1.02, 0.98, 0.97, 0.96, 0.96, 0.97, 0.99, 1.00
Niels van de Cloodt, 0.172, 11.07, 1.878, 1.11, 1.02, 0.97, 0.97, 0.97, 0.97, 0.99, 1.00, 1.02
Rune Vandezande, 0.137, 10.99, 1.893, 1.12, 1.01, 0.97, 0.96, 0.95, 0.97, 0.97, 1.00, 1.01
Letsile Tebogo, 0.146, 10.61, 1.754, 1.06, 0.94, 0.90, 0.88, 0.87, 0.90, 0.92, 1.02, 1.22
Joshua Hartmann, 0.152, 10.30, 1.798, 1.06, 0.96, 0.90, 0.89, 0.88, 0.88, 0.89, 0.90, 0.99
Yohan Blake, 0.147, 10.08, 1.733, 1.04, 0.95, 0.91, 0.89, 0.87, 0.87, 0.87, 0.89, 0.91
Marvin Bracy-Williams, 0.136, 10.01, 1.764, 1.03, 0.93, 0.89, 0.87, 0.86, 0.87, 0.86, 0.88, 0.92
Kishane Thompson, 0.129, 9.87, 1.741, 1.02, 0.92, 0.87, 0.85, 0.85, 0.86, 0.85, 0.87, 0.91
Ferdinand Omanyala, 0.135, 9.85, 1.775, 1.01, 0.92, 0.87, 0.85, 0.84, 0.84, 0.86, 0.87, 0.88
Noah Lyles, 0.155, 9.85, 1.785, 1.04, 0.92, 0.88, 0.86, 0.84, 0.83, 0.84, 0.84, 0.86
Christian Coleman, 0.147, 9.83, 1.723, 1.02, 0.91, 0.87, 0.85, 0.84, 0.85, 0.86, 0.86, 0.90
Emanuele di Marino, 0.137, 12.44, 2.113, 1.23, 1.14, 1.10, 1.10, 1.10, 1.10, 1.12, 1.13, 1.17
Nicholas Mayhugh, 0.173, 11.90, 1.937, 1.17, 1.08, 1.04, 1.03, 1.04, 1.08, 1.09, 1.12, 1.14
Andreas Walser, 0.175, 11.65, 1.965, 1.18, 1.06, 1.03, 1.01, 1.01, 1.03, 1.03, 1.06, 1.10
Olivier Hendriks, 0.209, 11.39, 2.031, 1.19, 1.06, 1.01, 0.98, 0.95, 0.97, 0.97, 0.99, 1.03
Axel Zorzi, 0.166, 11.29, 1.894, 1.13, 1.01, 0.99, 0.98, 0.98, 0.99, 1.03, 1.03, 1.09
Jaydin Blackwell, 0.204, 11.01, 1.906, 1.10, 1.01, 0.97, 0.95, 0.95, 0.96, 0.97, 0.98, 1.01
Zachary Shaw, 0.147, 10.99, 1.903, 1.13, 1.01, 0.98, 0.95, 0.95, 0.95, 0.96, 0.98, 1.03
Noah Malone, 0.157, 10.72, 1.793, 1.07, 0.99, 0.94, 0.94, 0.92, 0.95, 0.96, 0.98, 1.02